GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
3.9,2,1,720,3.0,420.0,2,2.0,5.0,2,1.0,2,2.0,1,7,1,3.0,5,1.0,3.0,Chinese,4,1.0,1,5,1,5,1,8,6,4,5,3,1.0,2.0,4,1.0,1,3,4.0,2.0,1.0,1.0,5,1165.0,850,4,2,1315,145
3.4,1,1,430,2.0,420.0,2,7.0,3.0,7,1.0,2,2.0,1,3,3,2.0,4,2.0,2.0,Italian,1,3.0,1,3,1,3,4,2,4,3,5,1,1.0,4.0,2,1.0,1,3,3.0,3.0,1.0,2.0,4,1165.0,500,2,1,900,130
3.5,1,2,610,3.0,420.0,1,2.0,3.0,2,1.0,2,2.0,1,3,3,3.0,4,1.0,4.0,Italian,1,1.0,1,4,4,4,2,3,4,4,5,2,2.0,4.0,2,1.0,3,5,4.0,4.0,2.0,1.0,4,725.0,500,2,2,900,190
3.7,1,1,265,nan,315.0,2,2.0,nan,2,1.0,4,2.0,1,3,5,3.0,4,1.0,4.0,Italian,1,1.0,1,3,3,3,8,2,3,3,5,7,1.0,4.0,3,1.0,2,3,3.0,3.0,1.0,1.0,3,580.0,345,3,2,575,170
3.7,1,1,430,3.0,420.0,2,2.0,2.0,2,1.0,2,1.0,1,2,2,nan,5,nan,2.0,Any type of Colombian cuisine,2,1.0,1,4,1,5,4,5,1,5,5,1,nan,1.0,3,1.0,2,2,5.0,3.0,1.0,1.0,5,940.0,690,4,2,1315,127
3.83,1,1,720,3.0,420.0,2,3.0,1.0,3,1.0,1,2.0,2,5,2,3.0,5,1.0,4.0,Mexican cuisine,2,3.0,1,5,2,5,9,5,5,5,5,9,2.0,3.0,5,1.0,1,3,4.0,2.0,1.0,1.0,5,725.0,690,5,1,760,167
2.6,1,1,265,3.0,315.0,2,1.0,3.0,1,1.0,3,2.0,1,2,3,2.0,3,3.0,5.0,Asian,4,3.0,1,5,1,4,7,5,6,2,5,7,2.0,3.0,3,1.0,2,3,3.0,3.0,1.0,2.0,3,580.0,500,4,1,760,140
3.0,1,1,610,3.0,420.0,2,2.0,2.0,2,1.0,1,2.0,2,5,1,3.0,4,2.0,2.0,Chinese food,4,3.0,1,5,1,4,3,5,6,4,5,1,1.0,4.0,5,1.0,1,3,3.0,4.0,1.0,1.0,4,580.0,500,4,1,900,190
3.2,2,1,720,3.0,420.0,1,3.0,4.0,3,1.0,2,2.0,1,3,2,2.0,3,1.0,4.0,mac and cheese,5,2.0,1,4,2,1,5,2,6,1,5,4,1.0,5.0,2,1.0,1,3,1.0,4.0,1.0,1.0,1,1165.0,690,4,1,1315,155
3.5,2,2,720,4.0,980.0,2,9.0,nan,9,1.0,2,2.0,2,5,1,2.0,5,1.0,2.0,Mexican,2,1.0,1,4,3,5,7,6,2,5,5,1,1.0,nan,5,1.0,1,4,5.0,2.0,1.0,2.0,5,1165.0,850,4,1,1315,175
3.2,1,1,610,3.0,420.0,2,1.0,3.0,1,nan,2,1.0,2,5,2,2.0,5,1.0,4.0,Authentic Chinese and Vietnamese food ,4,1.0,2,5,3,4,7,2,3,5,5,1,1.0,2.0,5,1.0,2,3,4.0,3.0,1.0,2.0,5,1165.0,500,5,1,900,129
3.68,2,1,720,4.0,420.0,2,2.0,4.0,2,nan,1,2.0,2,5,2,3.0,3,1.0,2.0,italian and chinese,1,1.0,1,5,1,4,7,4,6,3,5,8,1.0,3.0,2,1.0,1,4,3.0,4.0,2.0,1.0,3,1165.0,850,4,1,1315,260
3.8,1,2,610,2.0,420.0,2,2.0,2.0,2,1.0,2,2.0,1,3,3,2.0,2,2.0,5.0,American,5,3.0,1,2,3,1,5,2,6,1,4,2,2.0,5.0,3,2.0,3,3,1.0,3.0,1.0,2.0,1,725.0,500,1,2,900,135
