battery,camera,display,memory,name,price,processor,rating,reviews,warranty
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy M11 (Violet, 32 GB)",9.425371103179842,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,4.2,444 Reviews,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
4000 mAh Lithium-ion Battery,13MP + 2MP | 5MP Front Camera,14.48 cm (5.7 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy M01 (Blue, 32 GB)",9.168267595554275,Qualcomm Snapdragon (SDM439) Octa Core Processor,4.2,434 Reviews,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
4200 mAh Battery,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,16.69 cm (6.57 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,"Realme X3 SuperZoom (Arctic White, 128 GB)",10.239924074233857,Qualcomm Snapdragon 855+ Processor,4.3,139 Reviews,120 Hz Smooth Display
4440 mAh Li-ion Battery,48MP + 13MP + 13MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ Display,12 GB RAM | 256 GB ROM,"iQOO 3 (5G) (Tornado Black, 256 GB)",10.714195521835219,Qualcomm Snapdragon 865 Processor,4.4,188 Reviews,"In-Display Fingerprint Sensor, Monster Touch Buttons"
4000 mAh Battery,48 MP + 8 MP + 16 MP | 16MP Front Camera,16.94 cm (6.67 inch) Display,6 GB RAM | 128 GB ROM,"OnePlus 7 Pro (Mirror Grey, 128 GB)",10.601597398675818,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.6,24 Reviews,
4000 mAh Battery,48 MP + 8 MP + 16 MP | 16MP Front Camera,16.94 cm (6.67 inch) Display,8 GB RAM | 256 GB ROM,"OnePlus 7 Pro (Almond, 256 GB)",10.700972225644158,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5,114 Reviews,
4500 mAh Lithium-ion Battery,48MP + 12MP + 5MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)",10.668932138591325,Qualcomm Snapdragon 855 (SM8150) Processor,4.5,"2,616 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4300 mAh Battery,48MP + 2MP + 16MP,16.64 cm (6.55 inch) Display,12 GB RAM | 256 GB ROM,"OnePlus 8 (Glacial Green, 256 GB)",10.81975828421028,Qualcomm Snapdragon 865 Processor,4.5,17 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories
5000 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,16.51 cm (6.5 inch) HD+ Display,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy A21s (Blue, 64 GB)",9.769899015421748,Exynos 850 Octa Core Processor,4.2,174 Reviews,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
3000 mAh Battery,8MP Rear Camera | 5MP Front Camera,13.84 cm (5.45 inch) FWVGA Display,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,"Panasonic ELUGA I6 (Black, 16 GB)",8.77940359789435,MediaTek Processor,3.8,599 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
